contract,clause_text,label,predicted_label,confidence,filtered_prediction,low_confidence
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","The foregoing right of first refusal shall cease in the event of a Change of Control of either RemainCo or SpinCo, provided, however, that the Parties will discuss the feasibility of future collaboration, specifically related to the contribution of nuclear related subject matter by RemainCo, in good faith in the event of a Change of Control.",Change Of Control,Rofr/Rofo/Rofn,0.8418651819229126,Rofr/Rofo/Rofn,False
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","This Agreement may not be assigned by either Party, except with the prior written consent of the other Party.",Anti-Assignment,Anti-Assignment,0.9892570376396179,Anti-Assignment,False
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","This Agreement shall be governed by, and construed and enforced in accordance with, the substantive laws of the State of Delaware, without regard to any conflicts of law provisions thereof that would result in the application of the laws of any other jurisdiction.",Governing Law,Governing Law,0.9974468946456909,Governing Law,False
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","individually as a ""Party,"" and collectively as the ""Parties."" C",Parties,Parties,0.9953194260597229,Parties,False
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","licensed by SpinCo or any other member of the SpinCo Group if and to the extent the licensing of same to RemainCo would constitute a breach of an agreement with any Third Party executed prior to the Effective Date or result in any expense to SpinCo or any member of the SpinCo Group for payments to such Third Party or (ii) any intellectual property not owned by one or more members of the SpinCo Group, or as to which no member of the SpinCo Group has the right to grant sublicenses, as of the Effective Date.",Affiliate License-Licensor,Affiliate License-Licensor,0.8286756277084351,Affiliate License-Licensor,False
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","of the SpinCo Group, hereby grants to RemainCo (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in the RemainCo Core Field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in any field other than the SpinCo Core Field or the RemainCo Core Field.",License Grant,Irrevocable Or Perpetual License,0.7806420922279358,Irrevocable Or Perpetual License,False
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","of the SpinCo Group, hereby grants to RemainCo (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in the RemainCo Core Field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in any field other than the SpinCo Core Field or the RemainCo Core Field. The foregoing licenses includes the right to reproduce, prepare derivative works, distribute, perform and otherwise exploit such Foundational Software and to use the Foundational Software to design, develop, manufacture, have manufactured, sell and support products and services.",Irrevocable Or Perpetual License,Irrevocable Or Perpetual License,0.8019992113113403,Irrevocable Or Perpetual License,False
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,7/18/11,Agreement Date,Agreement Date,0.5977588891983032,LOW_CONFIDENCE,True
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,BioAmber,Parties,Parties,0.9964662790298462,Parties,False
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,BioAmber S.A.S.,Parties,Parties,0.9966745376586914,Parties,False
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,Cargill,Parties,Parties,0.9966373443603516,Parties,False
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,"Cargill, Incorporated",Parties,Parties,0.9967687129974365,Parties,False
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,First Amendment,Document Name,Document Name,0.9961729645729065,Document Name,False
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,"July 5, 2011",Effective Date,Agreement Date,0.5311052799224854,LOW_CONFIDENCE,True
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","A Success Fee of 0.85% shall be paid based on the aggregate purchase price of the Shares sold in the Subscription Offering and the Community Offering excluding shares purchased by the Blue Hills Parties' officers, directors, trustees or employees (or members of their immediate family) plus any ESOP, tax-qualified or stock based compensation plans or similar plan created by the Blue Hills Parties for some or all of their directors or employees or by the foundation (or any shares contributed to the foundation).",Revenue/Profit Sharing,Revenue/Profit Sharing,0.9931423664093018,Revenue/Profit Sharing,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",AGENCY AGREEMENT,Document Name,Document Name,0.99735426902771,Document Name,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Agent,Parties,Parties,0.9961395859718323,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Bank,Parties,Parties,0.9961755275726318,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","Blue Hills Bancorp, Inc.",Parties,Parties,0.996807873249054,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Blue Hills Bank,Parties,Parties,0.9963560104370117,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","Bruyette & Woods, Inc.",Parties,Parties,0.9967095851898193,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Holding Company,Parties,Parties,0.996042013168335,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","Hyde Park Bancorp, Inc.",Parties,Parties,0.9968745708465576,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","Hyde Park Bancorp, MHC",Parties,Parties,0.9967939257621765,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","In the event the Holding Company fails to sell the required minimum number of the Shares by the date when such sales must be completed, in accordance with the provisions of the Plan or as required by the Massachusetts Regulations and applicable law, this Agreement shall terminate upon refund by the Holding Company to each person who has subscribed for or ordered any of the Shares the full amount which it may have received from such person, together with interest as provided in the Prospectus, and no party to this Agreement shall have any obligation to the other hereunder, except as set forth in Sections 2(a), 2(e), 7, 9 and 10 hereof.",Minimum Commitment,Minimum Commitment,0.9887627959251404,Minimum Commitment,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","In the event the Holding Company is unable to sell a minimum of 17,850,000 Shares within the period herein provided, this Agreement shall terminate and the Holding Company shall refund to any persons who have subscribed for any of the Shares the full amount which it may have received from them plus accrued interest, as set forth in the Prospectus; and none of the parties to this Agreement shall have any obligation to the other parties hereunder, except as set forth in this Section 2 and in Sections 7, 9 and 10 hereof. In the event the Offering is terminated for any reason not attributable to the action or inaction of the Agent, the Agent shall be paid the fees due to the date of such termination pursuant to subparagraphs (a) and (e) below.",Minimum Commitment,Minimum Commitment,0.989285409450531,Minimum Commitment,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be required to contribute any amount pursuant to Section 9(b) or this Section 10 which in the aggregate exceeds the amount paid (excluding reimbursable expenses) to the Agent under this Agreement.",Cap On Liability,Cap On Liability,0.9855242371559143,Cap On Liability,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",MHC,Parties,Parties,0.9966279864311218,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","May 14, 2014",Effective Date,Agreement Date,0.5775651931762695,LOW_CONFIDENCE,True
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",Mid­Tier,Parties,Parties,0.9965065121650696,Parties,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","Subject to the terms and conditions herein set forth, the Blue Hills Parties hereby appoint the Agent as their exclusive financial advisor and conversion agent (i) to utilize its best efforts to solicit subscriptions for Shares and to advise and assist the Holding Company and the Bank with respect to the sale of the Shares in the Offering and (ii) to participate in the Offering in the areas of market making and in syndicate formation or to act as sole book-running manager in the Underwritten Offering (if necessary).",Exclusivity,Exclusivity,0.9802696108818054,Exclusivity,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","The Blue Hills Parties carry, or are covered by, insurance in such amounts and covering such risks as is adequate for the conduct of their respective businesses and the value of their respective properties as is customary for companies engaged in a similar industry.",Insurance,Insurance,0.9963350296020508,Insurance,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","The Holding Company may engage Agent to offer the Shares to certain members of the general public in the Underwritten Offering with Agent acting as sole book-running manager. In the event that Agent sells Shares in the Underwritten Offering, the underwriting discount will equal 5.25% of the aggregate Purchase Price of the Shares sold in the Underwritten Offering to Agent and to any other broker-dealer participating as an underwriter in the Underwritten Offering.",Revenue/Profit Sharing,Revenue/Profit Sharing,0.9706421494483948,Revenue/Profit Sharing,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","The deposit accounts of the Bank are insured by the FDIC up to the applicable limits, and upon consummation of the Conversion, the liquidation accounts for the benefit of Eligible Account Holders will be duly established in accordance with the requirements of the Massachusetts Regulations.",Insurance,Insurance,0.9078812003135681,Insurance,False
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",This Agreement shall be governed by and construed in accordance with the laws of the State of New York without regard to principles of conflicts of law.,Governing Law,Governing Law,0.9974925518035889,Governing Law,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"""we"" or ""us""",Parties,Parties,0.9939098358154297,Parties,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"2. Employ or seek to employ any person who is at that time employed by us, our affiliates, or by any other franchisee of ours, or otherwise directly or indirectly induce or seek to induce such person to leave his or her employment thereat.",No-Solicit Of Employees,No-Solicit Of Employees,0.9934433698654175,No-Solicit Of Employees,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"3. Directly or indirectly, for yourself or through, on behalf of, or in conjunction with any person or entity, own, manage, operate, maintain, engage in, consult with or have any interest in: a) any restaurant business, b) any prepared food business, or c) any other business which sells or offers to dispense prepared food products the same as or similar to the type sold in the System.",Non-Compete,Non-Compete,0.975881040096283,Non-Compete,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Accordingly, you covenant that, except as otherwise approved in writing by us, you will not, for a period of two (2) years after the expiration or termination of this Agreement, regardless of the cause of termination, or within two (2) years of the sale of the Franchised Restaurant or any interest in you, either directly or indirectly, for yourself, or through, on behalf of, or in conjunction with any person or entity, own, manage, operate, maintain, engage in, consult with or have any interest in: i) any restaurant business, ii) any prepared food business, or iii) any other business which sells or offers to dispense prepared food products the same as or similar to the type sold in the System: 1. At the premises of the former Franchised Restaurant; 2. Within a radius of ten (10) miles of the former Franchised Restaurant; or 3. Within a radius of ten (10) miles of the location of any other business using the System, whether franchised or owned by us or our affiliates.",Non-Compete,Non-Compete,0.986101508140564,Non-Compete,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"All modifications and enhancements made to the approved information system shall be our property (or the appropriate vendor if we so designate), without regard to the source of the modification or enhancement. You agree to execute any documents, in the form provided by us, that we determine are necessary to reflect such ownership.",Ip Ownership Assignment,Ip Ownership Assignment,0.9889780879020691,Ip Ownership Assignment,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Although we will not operate a Buffalo Wild Wings or bw-3 business within the Designated Area, we reserve the right, both within and outside of the Designated Area, to offer and sell at special events (at our option, if you elect not to participate in such events) or at wholesale, through channels of distribution distinct from those of a Franchised Restaurant, products and services which comprise, or may in the future comprise a part of the System, which products may be resold at retail to the general public by such entities.",Competitive Restriction Exception,Competitive Restriction Exception,0.9468974471092224,Competitive Restriction Exception,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,Any developments and improvements by you relating to the Marks or the System shall be our sole property.,Ip Ownership Assignment,Ip Ownership Assignment,0.9889912605285645,Ip Ownership Assignment,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Any proposed transfer by you (regardless of the form of transfer) shall be subject to the same terms and conditions contained in the Franchise Agreement. As used herein, the term ""Transfer"" shall mean any sale, assignment, gift, pledge, mortgage or any other encumbrance, transfer by bankruptcy, transfer by judicial order, merger, consolidation, share exchange, transfer by operation of law or otherwise, whether direct or indirect, voluntary or involuntary, of the Agreements or any interest in any of them or any rights or obligations arising under them, or of any material portion of the business assets, or of any interest in the Franchisee. Each of you agree and covenant that you will not at any time during which Franchisee is a Buffalo Wild Wings/bw-3 franchisee and/or developer, directly or indirectly, voluntarily or involuntarily, make any Transfer, unless you first obtain our written approval in compliance with the same provisions applicable to a transfer by you as set forth in the Agreements.",Change Of Control,Change Of Control,0.9115345478057861,Change Of Control,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Application for our consent to a transfer and tender of the right of first refusal provided for in Paragraph XX, will be accompanied by the documents (including a copy of the proposed purchase or other transfer agreement) or other information required by us.",Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,0.9888551831245422,Rofr/Rofo/Rofn,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"As a result, you agree that the following locations (""Special Sites"") are excluded from the Designated Area and we shall have the right to develop (by direct ownership or franchising) such locations: 1) public transportation facilities, including airports, train stations and bus stations; 2) military bases; 3) sports facilities, including race tracks; and 4) amusement and/or theme parks.",Competitive Restriction Exception,Competitive Restriction Exception,0.6302828788757324,Competitive Restriction Exception,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,At least three (3) persons actively involved in the management and operation of the Franchised Restaurant must successfully complete the training program.,Minimum Commitment,Minimum Commitment,0.8581842184066772,Minimum Commitment,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"At the time of opening you must have a minimum of Fifty Thousand Dollars ($50,000) in immediately accessible working capital funds to be used solely to defray the costs of operating the Restaurant for the initial several months.",Minimum Commitment,Minimum Commitment,0.991251528263092,Minimum Commitment,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"B. Upon our demand, you will assign to us your interest in any lease then in effect for the Franchised Restaurant premises.",Post-Termination Services,Ip Ownership Assignment,0.9140034914016724,Ip Ownership Assignment,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"D. You will take such action as may be necessary to cancel or assign to us or our designee, at our option, any assumed name rights or equivalent registration filed with state, city, or county authorities which contains the name ""Buffalo Wild Wings,"" ""bw-3"" or any Mark, and you will furnish us with evidence satisfactory to us of compliance with this obligation within thirty (30) days after termination or expiration of this Agreement.",Post-Termination Services,Post-Termination Services,0.714179515838623,Post-Termination Services,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Each of you agrees that during the period Franchisee operates any Buffalo Wild Wings and/or bw-3 Restaurants, or has any beneficial interest therein, or holds any rights to develop one or more such Restaurants (including all renewal periods) you shall not directly or indirectly on your own account or as an employee, consultant, partner, officer, director, shareholder or member of any person, firm, entity, partnership, corporation or company, own, operate, lease franchise, engage in, be connected with, have any interest in, or assist any person or entity engaged in: 1) any restaurant business, 2) any prepared food business, or 3) any other business which sells prepared food products the same or similar as the type sold in our System.",Non-Compete,Non-Compete,0.9845196008682251,Non-Compete,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Each of you agrees that for a two-year period after Franchisee ceases to have any interest in any Restaurants or any rights to develop Restaurants, regardless of the reasons such interest ceases or terminates, you will not directly or indirectly on your own account or as an employee, consultant, partner, officer, director, shareholder or member of any person, firm, entity, partnership, corporation or company, own operate, lease franchise, engage in, be connected with, have any interest in, or assist any person or entity engaged in: 1) any restaurant business, 2) any prepared food business, or 3) any other business which sells prepared food products the same or similar as the type sold in our System; which is located at or within a ten (10) mile radius of your former Franchised Restaurant or any Buffalo Wild Wings or bw-3 Restaurant.",Non-Compete,Non-Compete,0.9856781363487244,Non-Compete,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,FRANCHISEE,Parties,Parties,0.99615877866745,Parties,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,FRANCHISOR,Parties,Parties,0.9960457682609558,Parties,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,Franchise Agreement,Document Name,Document Name,0.9972877502441406,Document Name,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"If an inspection discloses an understatement in any report of two percent (2%) or more, you will also reimburse us for any and all costs and expenses connected with the inspection (including, without limitation, reasonable accounting and attorneys' fees), and we will thereafter have the right to require you to submit annual financial statements, prepared in accordance with generally accepted accounting principles, audited by an independent certified public accountant.",Audit Rights,Audit Rights,0.9957155585289001,Audit Rights,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"If we do not exercise this right of first refusal, you may accept the offer, subject to our prior written approval, as provided in Paragraph XVIII hereof, provided that if such offer is not so accepted within six (6) months of the date thereof, we will again have the right of first refusal herein described.",Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,0.9894189834594727,Rofr/Rofo/Rofn,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"If you or your owners propose to sell the Franchised Restaurant (or its assets) or a controlling interest in the ownership of you as defined in Paragraph XVIII, you or your owners will obtain and deliver a bona fide, executed written offer to purchase same to us, which shall, for a period of thirty (30) days from the date of delivery of such offer to us, have the right, exercisable by written notice to you or your owners, to purchase the Franchised Restaurant, (its assets) or an ownership interest in you for the price and on the terms and conditions contained in such offer, provided that we may substitute cash for any form of payment proposed in such offer.",Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,0.9885953068733215,Rofr/Rofo/Rofn,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"If you propose to offer for sale at the Franchised Restaurant any brand of product, or to use in the operation of the Franchised Restaurant any brand of food ingredient or other material or supply which is not then approved by us as meeting its minimum specifications and quality standards, or to purchase any product from a supplier that is not then designated by us as an approved supplier, you must first notify us and shall upon our request submit samples and such other information as we require for examination and/or testing or to otherwise determine whether such product, material or supply, or such proposed supplier meets its specifications and quality standards.",Exclusivity,Rofr/Rofo/Rofn,0.40253981947898865,LOW_CONFIDENCE,True
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"In order to preserve the validity and integrity of the Marks and copyrighted material licensed to you and to assure that you are properly employing the same in the operation of your Franchised Restaurant, we and our agents have the right of entry and inspection of your premises and operating procedures at all reasonable times.",Audit Rights,Audit Rights,0.9960541725158691,Audit Rights,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"In the event of the death or incapacity of an individual franchisee, or any partner or shareholder of you which is a partnership or corporation, where the aforesaid provisions of Paragraph XVIII have not been fulfilled within the time provided, all rights licensed to you under this Agreement shall, at our option, terminate forthwith and we will have the option to purchase the assets of the Franchised Restaurant in accordance with Paragraph XVII.K. herein.",Change Of Control,Change Of Control,0.8469731211662292,Change Of Control,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"In the event of your death or incapacity, or the death or incapacity of any partner, any shareholder owning fifty percent (50%) or more of your capital stock, or any Member who owns a majority interest in a limited liability company, the heirs, beneficiaries, devisees, or legal representatives of said individual, partner or shareholders shall, within one hundred eighty (180) days of such event: 1. Apply to us for the right to continue to operate the franchise for the duration of the term of this Agreement and any renewals hereof, which right shall be granted upon the fulfillment of all of the conditions set forth in Paragraph XVIII. of this Agreement (except that no transfer fee shall be required); or 2. Sell, assign, transfer, or convey your interest in compliance with the provisions of Paragraphs XVIII and XX of this Agreement; provided, however, in the event a proper and timely application for the right to continue to operate has been made and rejected, the one hundred eighty (180) days to sell, assign, transfer or convey shall be computed from the date of said rejection. For purposes of this Paragraph, our silence on an application made pursuant to Paragraph XIX.A.1. through the one hundred and eighty (180) days following the event of death or incapacity shall be deemed a rejection made on the last day of such period.",Change Of Control,Post-Termination Services,0.6784325242042542,Post-Termination Services,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"In the event you are a corporation, partnership, limited liability company or other entity, any transfer of stock (or other form of ownership interest) constituting a controlling interest in you will be subject to the consent, right of first refusal, transfer fee and all other applicable provisions of this Agreement.",Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,0.8913983702659607,Rofr/Rofo/Rofn,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"J. You hereby acknowledge that all telephone numbers used in the operation of the Franchised Restaurant constitute assets of the Franchised Restaurant; and upon termination or expiration of this Agreement you will assign to us or our designee, all right, title, and interest in and to your telephone numbers and will notify the telephone company and all listing agencies of the termination or expiration of your right to use any telephone number and any regular, classified or other telephone directory listing associated with the Marks and to authorize a transfer of same to or at our direction.",Post-Termination Services,Post-Termination Services,0.4516691565513611,LOW_CONFIDENCE,True
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"K. We will have the right (but not the duty), to be exercised by notice of intent to do so within sixty (60) days after termination or expiration, to purchase for cash any or all assets of the Franchised Restaurant, including leasehold improvements, equipment, supplies, and other inventory, advertising materials, and all items bearing the Marks, at your cost or fair market value, whichever is less.",Post-Termination Services,Rofr/Rofo/Rofn,0.8618150949478149,Rofr/Rofo/Rofn,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,Lessor and Lessee expressly agree that bw-3 is a third party beneficiary of this Addendum.,Third Party Beneficiary,Third Party Beneficiary,0.992964506149292,Third Party Beneficiary,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,Other System franchisees shall be deemed third party beneficiaries of such.,Third Party Beneficiary,Third Party Beneficiary,0.9922565221786499,Third Party Beneficiary,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Restaurant""), and to use the Marks solely in connection with the System, as it is currently established, and as it may be changed, improved and further developed from time to time, at one (1) location only, such location to be: 1) ____________________________________________________________________________ ___________________________________________________________________________, or 2) at a location to be designated, as provided in Paragraph III within the area described on EXHIBIT B.",License Grant,License Grant,0.9711986780166626,License Grant,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Subject to the provisions stated below, we hereby grant you a license to use the ""Buffalo Wild Wings"" Marks and System, and you undertake the obligation to operate a Buffalo Wild Wings restaurant facility featuring the Menu Items and providing sit-down, carry-out and other restaurant services (""Franchised",License Grant,License Grant,0.9822636246681213,License Grant,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,Such certificate shall state that said policy or policies will not be canceled or altered without at least twenty (20) days prior written notice to us and shall reflect proof of payment of premiums.,Insurance,Insurance,0.9963864088058472,Insurance,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"THIS AGREEMENT TAKES EFFECT UPON ITS ACCEPTANCE AND EXECUTION BY US, AND SHALL BE INTERPRETED AND CONSTRUED UNDER THE LAWS OF THE STATE IN WHICH THE FRANCHISED RESTAURANT IS LOCATED, EXCEPT TO THE EXTENT GOVERNED BY THE UNITED STATES TRADEMARK ACT OF 1946 (LANHAM ACT, 15, U.S.C. SECTIONS 1051 ET SEQ).",Governing Law,Governing Law,0.9966129660606384,Governing Law,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"The Agreements, and your rights and obligations under them, are and shall remain personal to you.",Anti-Assignment,Anti-Assignment,0.9775829315185547,Anti-Assignment,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,The insurance coverage must commence as of the date the location of the Franchised Restaurant has been secured,Insurance,Insurance,0.9965534210205078,Insurance,False
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"The policy or policies shall be written by an insurance company satisfactory to us in accordance with standards and specifications set forth in the Manuals or otherwise in writing, and shall include, at a minimum (except as different coverages and policy limits may reasonably be specified for all franchisees from time to time by us in the Manuals or otherwise in writing) the following: 1. All risks coverage insurance on the Franchised Restaurant and all fixtures, equipment, supplies and other property used in the operation of the Franchised Restaurant, for full repair and replacement value of the machinery, equipment, improvements and betterments, without any applicable co-insurance clause, except that an appropriate deductible clause shall be permitted. 2. Worker's compensation and employer's liability insurance as well as such other insurance as may be required by statute or rule of the state in which the Franchised Restaurant is located and operated. 3. Comprehensive general liability insurance and product liability insurance with minimum limits of ONE MILLION Dollars ($1,000,000) combined single limit including the following coverages: contractual liability; personal injury; products/completed operation; and tenant's fire legal liability; insuring against all claims, suits, obligations, liabilities and damages, including attorneys' fees, based upon or arising out of actual or alleged personal injuries or property damage resulting from, or occurring in the course of, or on or about or otherwise relating to the Franchised Restaurant, provided that the required amounts herein may be modified from time to time by us to reflect inflation or future experience with claims. 4. If you offer delivery service or utilize motor vehicles for any other purpose in the operation of the Franchised Restaurant, automobile liability insurance, including owned, hired and non-owned vehicle coverage, with a combined single limit of at least ONE MILLION Dollars ($1,000,000). 5. Such insurance and types of coverage as may be required by the terms of any lease for the Franchised Restaurant, or as may be required from time to time by us. 6. Liquor liability coverage in a minimum amount of ONE MILLION Dollars ($1,000,000) or such other amount as may be specified by us.",Insurance,Insurance,0.9968543648719788,Insurance,False
