contract,clause_text,label,predicted_label,confidence
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES",Cap On Liability,Uncapped Liability,0.9814152121543884
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","In the event that ISA wishes to carry out any software development work of any nature during the Non-Competition Period, it will notify Rubicon of the same and allow Rubicon the opportunity to pitch for such work.",Competitive Restriction Exception,Non-Compete,0.9408714175224304
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","Rubicon hereby grants to ISA during the Term (as defined below) and subject to the exclusions described in 2.4 below an exclusive, non-transferable license in the United States to market, sell, use, display, perform, sublicense and distribute the Rubicon Offerings, the Documentation and, subject to Section 2.2, any upgrades thereto, subject to the conditions set forth in this Agreement",Exclusivity,Non-Transferable License,0.9736725687980652
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","Works means, collectively, any work product (of any type), software, developments, processes, improvements, and all works of authorship, in whole or in part, whether patentable or not and whether copyrightable or not created as services provided directly to ISA or on behalf of ISA by Rubicon, which (i) are conceived or made by Rubicon, its employees, contractors, consultants or agents during the Term and relate directly to the business in which ISA and Rubicon(during the Term by ISA) are, had been or were proposing to be engaged in; or (ii) are conceived or made by Rubicon, its employees, contractors, consultants or agents during or after the Term and are made through the use of any ISA Confidential Information, or which result from any work performed by Rubicon, its employees, contractors, consultants or agents for ISA.",Ip Ownership Assignment,Affiliate License-Licensor,0.7327342629432678
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"In exchange for the marketing and selling of the Products provided in Section 3, Vendor hereby agrees:",Non-Compete,Other,0.3329533636569977
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"In the event of the termination of this Agreement for any reason whatsoever, the exclusive distribution right and license granted to Distributor pursuant to this Agreement shall automatically revert to Vendor as Vendor's sole property.",License Grant,Ip Ownership Assignment,0.9874098896980286
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"In the event that this Agreement is terminated pursuant to either Section 1.1.4 or 1.1.5 of this Agreement, this shall not of itself be deemed a breach hereof but Distributor shall have the right to receive monthly compensation from Vendor, or successor to the Vendor, representing the amount of profit to Distributor lost as a result of the termination (the ""Monthly Compensation"").",Post-Termination Services,Liquidated Damages,0.985824465751648
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"January 21, 2005",Effective Date,Agreement Date,0.5619810819625854
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"This Agreement may be terminated subject to the following clauses: 1.1.1. By either Vendor or Distributor, upon written notice of termination of this Agreement no later than ninety (90) calendar days prior to the expiration of the relevant Term, then in effect;",Termination For Convenience,Notice Period To Terminate Renewal,0.8776355385780334
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,"31 December,",Agreement Date,Effective Date,0.39328116178512573
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,Any rights or license granted under this Article VI to a ----------------- corporation or other legal entity which becomes a Subsidiary of a Party at a date later than the Effective Date shall become effective as of the date upon which such corporation or other legal entity becomes a Subsidiary of such Party.,Affiliate License-Licensee,Effective Date,0.49649888277053833
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,"Notwithstanding any provision of the Source Code ----------------- License, ETI shall not be required to honour any product warranty or intellectual property indemnity set forth in the Source Code License, to the extent that such breach of warranty or indemnity relates to a defect in any of the Entrust Products as of the Effective Date or the infringement or misappropriation of any third party rights incorporated into the Entrust Products as of the Effective Date.",Cap On Liability,Source Code Escrow,0.9841952323913574
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,"Subject to the terms and -------------------------------- conditions of this Agreement, NTL, to the extent of its legal right to do so, hereby grants to Entrust under the Nortel Patents, a non-transferable, non- assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.",Affiliate License-Licensor,Non-Transferable License,0.9780314564704895
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,"Subject to the terms and ----------------------------------- conditions of this Agreement, Entrust, to the extent of its legal right to do so, hereby grants to Nortel, under the Entrust Patents, an irrevocable, non- transferable, non-assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.",Affiliate License-Licensor,Irrevocable Or Perpetual License,0.9302603602409363
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","At least […***…] during the time a Work Stream remains in effect, unless otherwise agreed by the Parties, FMI shall have the obligation to prepare and provide to the JRDC a summary presentation on the progress of the work performed by FMI in the course of each Work Stream during the preceding […***…].",Audit Rights,Minimum Commitment,0.9500129818916321
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","Effective after the Immunotherapy Exclusivity Period, Roche hereby grants to FMI a non-exclusive, royalty-free, worldwide, perpetual, and sublicensable to Affiliates, license to any intellectual property arising from the Immunotherapy Testing Platform Development Program Controlled by Roche (excluding Roche Immunotherapy Sample Results) to the extent necessary",Affiliate License-Licensee,Affiliate License-Licensor,0.529141366481781
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","FMI hereby grants to Roche (i) an exclusive, royalty-free, sublicensable, worldwide and perpetual license to any intellectual property rights arising from the ctDNA Development Platform Program that are necessary for Roche to develop, make, have made, use, offer for sale, sell, import and commercialize Roche products other than diagnostic products (including the use, formulation, methods of treatment, clinical data or other data, information or results relating to the Roche therapeutic product) solely for use in connection with such activities and such Roche products and (ii) a non-exclusive, royalty-free, worldwide and perpetual license, with the right to grant sublicenses solely to Roche Affiliates, to any intellectual property rights arising from the ctDNA Development Platform Program, for internal research purposes.",Exclusivity,Affiliate License-Licensor,0.49686551094055176
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","FMI hereby grants to Roche (i) an exclusive, royalty-free, sublicensable, worldwide and perpetual license to any intellectual property rights arising from the ctDNA Development Platform Program that are necessary for Roche to develop, make, have made, use, offer for sale, sell, import and commercialize Roche products other than diagnostic products (including the use, formulation, methods of treatment, clinical data or other data, information or results relating to the Roche therapeutic product) solely for use in connection with such activities and such Roche products and (ii) a non-exclusive, royalty-free, worldwide and perpetual license, with the right to grant sublicenses solely to Roche Affiliates, to any intellectual property rights arising from the ctDNA Development Platform Program, for internal research purposes. Roche hereby grants to FMI a non-exclusive, royalty-free, worldwide, perpetual, and sublicensable license to any IP Controlled by Roche and developed under the ctDNA Platform Development Program (excluding Roche Immunotherapy Sample Results) to the extent necessary for FMI to research, develop, make, have made, use, offer for sale, sell, import and commercialize the ctDNA Assays.",Irrevocable Or Perpetual License,Affiliate License-Licensor,0.5816234350204468
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","FMI hereby grants to Roche a non-exclusive, royalty-free, worldwide and perpetual license, sublicensable to Roche's Affiliates under any FMI Improvements for Roche's internal research purposes and to develop, make, have made, use, offer for sale, sell, import and commercialize Roche's products and services other than diagnostic products and services.",Irrevocable Or Perpetual License,Affiliate License-Licensee,0.5009567737579346
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","Promptly upon expiry of such Work Stream, other than the Molecular Information Platform Program, FMI shall provide a final written report summarizing its activities under such Work Stream and the results thereof.",Audit Rights,Post-Termination Services,0.9786714315414429
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","Roche hereby grants to FMI a non-exclusive, royalty-free, worldwide and perpetual license, sublicensable to FMI's Affiliates, under any intellectual property rights arising directly from the Sample Results, or the correlation of the Sample Results to patient data (""Biomarker IP"") (i) to the extent such Biomarker IP becomes publicly known, for internal research purposes, (ii) to the extent such Biomarker IP becomes publicly known, to develop, make, have made, use, offer for sale, sell, import, and commercialize FMI's Products and Services relating to genomic analysis, and (iii) […***…].",Irrevocable Or Perpetual License,Affiliate License-Licensor,0.5515041351318359
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",The Database Insights,Renewal Term,Parties,0.996623158454895
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",customer provisions of Article 5.,Audit Rights,Document Name,0.4171125888824463
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","for FMI to develop, make, have made, use, offer for sale, sell, import and commercialize the Immuno-Biomarker Discovery Platform, Signature Identification services, Clinical Study assays, CDx assays, or any other FMI testing or services (including that are part of the Genomic Analysis Platform).",Affiliate License-Licensee,License Grant,0.815032958984375
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","have been satisfactorily met and no objection on the part of the Federal Trade Commission or the Justice Department remains, or (c) the occurrence of the Acceptance Time (as defined in the Transaction Agreement).",Effective Date,Warranty Duration,0.987095057964325
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT","December 27, 2018",Effective Date,Agreement Date,0.5280712842941284
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,(c) give title to all modifications and improvements to the PSS Software which XIMAGE generally makes available to its other customers (at no additional Charge) under standard software maintenance agreements relating to the Software.,Ip Ownership Assignment,Post-Termination Services,0.9280970692634583
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,"31 January, 1994",Agreement Date,Effective Date,0.5434888601303101
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,"December 10, 1993",Effective Date,Agreement Date,0.5181770324707031
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,"In addition, XIMAGE will provide the following as additional Customer Support Services:",Ip Ownership Assignment,Other,0.7429940104484558
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","Accordingly, LBIO shall have available, in addition to any other right or remedy available to it, the right to seek an injunction from a court of competent jurisdiction restraining such a breach (or threatened breach) and to specific performance of any such Section.",Uncapped Liability,Cap On Liability,0.6906521320343018
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","April 17, 2017",Effective Date,Agreement Date,0.5352630615234375
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","LBIO agrees to commit funding in an amount not to exceed $14,211,864.00 for the performance of the Studies during the Term (collectively, ""Initial Funding""), with the Initial Funding specifically allocated as follows: (a) $[* * *] for an upfront payment, and a minimum of $[* * *] for enrollment and treatment of a minimum of 40 patients in the Study described in Exhibit I (i.e., the Minimum Enrollment Target as defined in Exhibit 1) or up to $[* * *] (an ""Individual Study Budget"") for enrollment and treatment of up to 60 patients in the Study described in Exhibit I (i.e., the Maximum Enrollment Target as defined in Exhibit 1); (b) $[* * *] (which shall also be considered an Individual Study Budget) for enrollment, manufacturing of product, and treatment of 30 patients in the Study described in Exhibit II; and (c) $[* * *] for the Study described in Exhibit III.",Minimum Commitment,Volume Restriction,0.9747055172920227
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,"2) For Titles listed in Schedule A3: For ""天下女人"": No satellite TV broadcasting rights granted. Titles other than ""猜 猜女人心"", ""赏深越慕"" , ""职场新女性挑战行动"", "" 杨澜访谈录"" (自第192期及以后的节 目),""人生相对论 "", "" 天下女人"", and ""正青春"" cannot be edited in any way; 3) For Titles listed in Schedule A4: Other than the versions (dubbed or translated) in which the Titles in Schedule A4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on Schedule A4's Titles.",License Grant,Other,0.9891608357429504
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,"2) For Titles listed in Schedule A3: For ""天下女人"": No satellite TV broadcasting rights granted. Titles other than ""猜 猜女人心"", ""赏深越慕"" , ""职场新女性挑战行动"", "" 杨澜访谈录"" (自第192期及以后的节 目),""人生相对论 "", "" 天下女人"", and ""正青春"" cannot be edited in any way; 3) For Titles listed in Schedule A4: Other than the versions (dubbed or translated) in which the Titles in Schedule A4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on Schedule A4's Titles. 4) For Titles listed in Schedule A5 (except ""Summer in February""): Limitations on Rights Granted: the following distribution methods are permitted: non-theatrical, public video, ship and hotel rights (all not earlier than the US theatrical release); home video rental, home video sell through, and commercial video rights (all not earlier than the US video release); cable TV (pay & free), terrestrial TV (pay & free), satellite pay TV; internet TV (pay & free), residential and non-residential pay-per-view, residential and non-residential internet pay-per-view, VOD, near VOD, and internet VOD (all no earlier than the corresponding exploitation in the USA).",Irrevocable Or Perpetual License,Other,0.8389646410942078
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,"December 21, 2015",Effective Date,Agreement Date,0.559698760509491
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,Licensor will promptly provide written notice to Licensee in which Licensor lists each Additional Title.,Rofr/Rofo/Rofn,Insurance,0.3729309141635895
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,1.4.2011,Effective Date,Agreement Date,0.5067012906074524
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2",EXHIBIT 'B',Document Name,Parties,0.7422927618026733
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2","February 5, 2020",Effective Date,Agreement Date,0.5285547375679016
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","Dec. 8, 2005",Effective Date,Agreement Date,0.546854555606842
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","SIERRA shall cease making sales to any customer or distributor who, during the term of this Agreement, violates ENVISION's exclusivity.",Exclusivity,No-Solicit Of Customers,0.5201504826545715
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","Upon termination, ENVISION shall have eighteen (18) months to exhaust any inventories, packaging and advertising materials bearing the ""SierraSil"" trademark and SIERRA shall have first option to buy back any inventory at ENVISION's net purchase price.",Rofr/Rofo/Rofn,Post-Termination Services,0.9677584767341614
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT,"The channel is expected to be uploaded on August 1, 201",Expiration Date,Effective Date,0.8201287388801575
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT,"This Agreement is dated April 29, 2010",Agreement Date,Effective Date,0.7267711162567139
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT,"This Agreement will be effective as of the date of its execution, and term of the Cooperation will be four years from the date on which the channel is uploaded.",Expiration Date,Effective Date,0.5588003993034363
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"(A) 375 units in the first Product Year (1999) (B) 750 units in the next succeeding Product Year; (2000) (C) 937 units in the next succeeding Product Year; (2001) (D) 1,171 units in the next succeeding Product Year; (2002) (E) 1,463 units in the next succeeding Product Year; (2003) (F) 1,828 units in the next succeeding Product Year; (2004) (G) 2,285 units in the next succeeding Product Year; (2005) (H) 2,856 unit each in the lat three years of the initial Term of this Agreement and any renewals thereof.",Minimum Commitment,Other,0.3734109401702881
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Company's representatives will make themselves available three days per month in the first Product Year to consult with and train Distributor.,Minimum Commitment,Audit Rights,0.8512478470802307
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"If the Distributor shall fail to purchase the minimum number of units in any year, the Distributor's exclusive rights to sell and distribute the Product in the Market, may at Company's sole option, be reevaluated.",Minimum Commitment,Competitive Restriction Exception,0.611700177192688
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"In order to maintain the exclusive rights to sell, lease, distribute and service Products in the Market, the Distributor must use all commercially reasonably efforts to purchase for sale to subdistributors the following minimum quantities of the Products from the Company: On the commencement of the Term Distributor will issue to the Company an irrevocable letter of credit (""LC"") in the amount of Five Hundred Thousand Dollars ($500,000), the form of which is attached hereto as Exhibit A and incorporated herein by reference.",Minimum Commitment,Exclusivity,0.8802348375320435
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice.",Anti-Assignment,Change Of Control,0.9424200654029846
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Should Company introduce other products or devices as contemplated by recital paragraph ""A"", Distributor shall have the option of becoming Company's exclusive distributor of such other Products or devices within the Market.",Rofr/Rofo/Rofn,Exclusivity,0.9407237768173218
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Company represents that, to the best of its knowledge, Products are in compliance with all laws, and that the Products will not be hazardous or dangerous when used for their intended purpose. Products do not cause harmful emissions or other environmental hazards and Products do not violate or infringe any patents, copyrights, trademarks or other rights of nay third party(ies).",Warranty Duration,Other,0.9654918313026428
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Company shall not have any obligation with respect to Products after 365 days following delivery to Distributor, except as provided herein.",Warranty Duration,Cap On Liability,0.49336057901382446
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.",Effective Date,Expiration Date,0.9626663327217102
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,and which the Company has not repurchased.,Post-Termination Services,Rofr/Rofo/Rofn,0.6282423138618469
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT,"""Contract Period"" shall mean that period of time commencing on January 1, 2000 and concluding December 31, 2003, unless terminated sooner as provided herein.",Effective Date,Expiration Date,0.8959290385246277
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT,Any unearned Additional License Fee is fully &bbsp; refundable and due Company no later then January 31st of the following year.,Liquidated Damages,Revenue/Profit Sharing,0.9393342733383179
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT,"In the event Duval does not meet the Minimum Annual Performance Requirements for a Contract Year, $375,000 of the Additional License Fee will be deemed to be unearned.",Liquidated Damages,Minimum Commitment,0.9906901121139526
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT,"IN WITNESS WHEREOF, the parties hereto have executed this Agreement as of this 4th day of April, 2003.",Agreement Date,Other,0.9166686534881592
MSCIINC_02_28_2008-EX-10.10-,"Notwithstanding the provisions of Section 5(a) and (b), none of the members of the MS Provider Group and the MSCI Provider Group shall be liable for any special, indirect, incidental, consequential or punitive damages of any kind whatsoever in any way due to, resulting from or arising in connection with the performance of or failure to perform MS's or MSCI's obligations under this Agreement.",Cap On Liability,Uncapped Liability,0.8319849967956543
MSCIINC_02_28_2008-EX-10.10-,"November 20, 2007",Effective Date,Agreement Date,0.5436758399009705
MSCIINC_02_28_2008-EX-10.10-,"otherwise, to MS for or in connection with this Agreement or the transactions contemplated hereby or any actions or inactions by or on behalf of the MSCI Provider Group in connection with this Agreement and such transactions.",Cap On Liability,Other,0.31108200550079346
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,"(iii) DISTRIBUTOR becomes insolvent, assigns or attempts to assign its business assets for the benefit of creditors, institutes or has instituted against it proceedings in bankruptcy, or dissolves or liquidates the business of DISTRIBUTOR",Anti-Assignment,Other,0.6002275347709656
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,.,Anti-Assignment,Agreement Date,0.5962545275688171
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,"PPG SHANGHAI shall have the right to terminate this Agreement and/or suspend its performance hereunder immediately upon giving notice to DISTRIBUTOR, which termination shall be effective upon receipt of notice, if any one of the following occurs:",Non-Disparagement,Change Of Control,0.3043659031391144
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,"PPG Shanghai or any of its direct or indirect affiliates shall not sell any of its products directly to the Auto Center or to any of the Auto Center's affiliates in China or throughout the world, unless PPG Shanghai obtains Distributor's written approval.",Exclusivity,No-Solicit Of Customers,0.5576268434524536
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"4.7 Data protection. Each Party agrees to comply with all applicable data protection and privacy laws arising from its obligations, if any, under the Agreement and to reasonably co-operate with the other Party in order to allow the other Party to comply with any laws as deemed necessary from time to time. Each Party shall treat all data, information relating to Services, including but not limit to the customer personal data, as confidential. Each party warrants that it shall take appropriate technical and organizational measures against unauthorized or unlaw",Renewal Term,Other,0.9964703321456909
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"Neither Party shall be liable to the other Party in contract, tort or otherwise, whatever the cause, for any loss of profit, business or goodwill or any indirect, incidental or consequential costs, damages or expenses of any kind, except for such loss attributable to breach of confidentiality.",Uncapped Liability,Cap On Liability,0.7767110466957092
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"Subject to the foregoing as wen as Mobimagic's obligations under this Agreement, Mobimagic shall not in any manner be held or be responsible or liable for any unforeseen contingency, claims, liabilities, demands. losses, damages or expenses arising due to absence of storage or retention of any PC Financial data which shall be the sole responsibility of PC Financial .",Uncapped Liability,Cap On Liability,0.9888988137245178
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,knowingly use the Services in violation of this Agreement.,Renewal Term,License Grant,0.7408652305603027
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"knowingly use the Services in violation of this Agreement. 3 4.7 Data protection. Each Party agrees to comply with all applicable data protection and privacy laws arising from its obligations, if any, under the Agreement and to reasonably co-operate with the other Party in order to allow the other Party to comply with any laws as deemed necessary from time to time. Each Party shall treat all data, information relating to Services, including but not limit to the customer personal data, as confidential. Each party warrants that it shall take appropriate technical and organizational measures against unauthorized or unlaw",Renewal Term,Other,0.9857282042503357
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,"7) All covenants, promises and agreements by or on behalf of the parties contained in this Agreement shall be binding upon and shall inure to the benefit of the successors and assigns of the parties; but nothing in this Agreement, expressed or implied is intended to confer on any party the right to assign its rights or obligations hereunder.",Anti-Assignment,Other,0.9898897409439087
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,iv. returned to Philips in exchange for a full refund of the purchase price for the non-conforming Products paid under this Agreement.,Warranty Duration,Other,0.9809657335281372
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,"In lieu of PACIFICAP ENTERTAINMENT granting a 10 year Exclusive Content License to THE HENRY FILM AND ENTERTAINMENT CORPORATION, THE HENRY FILM ANDENTERTAINMENT CORPORATION agrees to share 10% of the net revenue from any and all advertising sales, Syndication Fees and Licensing fees generated from all television shows, DVD Magazines, Internet Streaming Video Television Shows, Television Shorts, Radio Shows, Radio Shorts, Cell Phone Video Clips, Caller ID Video Clips, Promotional Commercials, Websites, Streaming Video Commercials, Streaming Video Highlight Shows, 24 Hour Nostalgia Sports Network, DVD Program Package, Television Show Series, stock footage library, and print promotional posters, created and or produced with any content provided by PACIFICAP ENTERTAINMENT.",Revenue/Profit Sharing,Exclusivity,0.39359262585639954
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,"PERFORMANCE: In lieu of PACIFICAP ENTERTAINMENT granting a 10 year Exclusive Content License to THE HENRY FILM AND ENTERTAINMENT CORPORATION, THE HENRY FILM AND ENTERTAINMENT CORPORATION agrees to share a minimum of $50,000.00 annually for each year of this Agreement.",Minimum Commitment,Exclusivity,0.5876392722129822
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,"This Agreement will become effective as of the last date of signature (Effective Date) and shall, unless sooner terminated as provided below or as otherwise agreed, remain effective for an initial term of 10 Years following the first date of public availability of the PACIFICAP ENTERTAINMENT Content within a THE HENRY FILM AND ENTERTAINMENT CORPORATION Property (the ""Initial Term"").",Expiration Date,Effective Date,0.5473535656929016
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement,Parties can mutually agree in writing to deviate from an automatic extension of *** by extending this Agreement for a longer period than ***.,Renewal Term,Notice Period To Terminate Renewal,0.628442645072937
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement,The Agreement may be terminated by both Parties with a notification period of *** before the end of the Initial Term of the Agreement.,Termination For Convenience,Notice Period To Terminate Renewal,0.799685001373291
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement,"This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.",Effective Date,Expiration Date,0.9628046751022339
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,"Gulf Oil Lubricants India, Ltd, a public limited company incorporated in India (""Gulf India""), is executing this Agreement solely for purposes of Section 1(c) [Confidentiality; Non-competition; Non-solicitation].",Parties,Other,0.9920485615730286
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT","(a) Each of EA, Farids and the Company shall not, and shall cause their respective controlled Affiliates to not, either directly or indirectly solicit, hire, or contract with any of the employees of the other party or its Affiliates during the Term (as defined in the Exclusive Supplier Operating Agreement) and for one (1) year following the termination or expiration thereof; provided that this Section 8.9(a) shall not apply with respect to any such employee who employment with the other party and its Affiliates has been terminated for a period in excess of nine (9) months.",Post-Termination Services,No-Solicit Of Employees,0.778209924697876
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT","December 20, 2019",Agreement Date,Effective Date,0.49411988258361816
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT","If the Farids Group determines for any reason not to proceed with any proposed registration requested pursuant to Section 6.1, the Farids Group shall promptly notify the Company in writing.",Termination For Convenience,Rofr/Rofo/Rofn,0.9384891390800476
